1,10,2129,948-1914 At Ave, 2016-10-08 12:33:44,21.9,1,0
2,10,2128,6600 Sagittis. Avenue, 2016-10-30 10:44:33,8.95,1,0
3,4,2009,P.O. Box 699  1465 Proin Road, 2016-12-01 19:36:40,11,1,1
4,4,2007,726-1271 Ligula. Ave, 2016-12-02 21:34:05,8,1,1
5,3,2133,893-8535 Neque. Av., 2016-12-30 04:55:00,13,1,1
6,4,2008,447-9975 Tincidunt Rd., 2016-12-30 07:41:42,10,1,1
7,9,2076,P.O. Box 341  9204 Duis St., 2017-02-01 07:53:58,6.99,1,0
8,6,2042,777-2973 Integer Rd., 2017-02-01 08:59:20,8,1,0
9,7,2109,4090 Justo Street, 2017-02-03 13:18:36,13,1,0
10,9,2078,Ap #813-1166 Mi. Rd., 2017-02-08 10:22:21,11.99,1,0
11,6,2041,171-3263 Ante  Street, 2017-02-14 18:37:48,5,1,0
12,9,2077,965-2581 Lacinia Avenue, 2017-02-18 06:12:40,4.99,1,0
13,2,2147,Ap #455-5148 A  Ave, 2017-02-18 19:33:14,5,1,1
14,2,2145,831-1832 Dui. Road, 2017-02-19 08:30:22,8,1,1
15,7,2111,742-6890 Ut St., 2017-02-19 16:06:43,9,1,0
16,8,2087,312-3047 Pellentesque St., 2017-02-23 12:09:59,8,1,0
17,6,2040,P.O. Box 750  2307 Nonummy Avenue, 2017-02-25 08:42:38,8,1,0
18,10,2127,807-3732 Non Avenue, 2017-02-28 12:37:17,10.95,1,0
19,1,2057,783-6605 Nisi St., 2017-03-02 17:21:21,17,1,1
20,2,2146,5766 Malesuada Rd., 2017-03-04 14:48:46,6,1,1
21,5,2084,691-2298 Mi. Road, 2017-03-07 17:38:18,8,1,1
22,3,2135,7155 Orci St., 2017-03-08 08:25:24,12,1,1
23,1,2056,380-5011 Eget  Rd., 2017-03-10 13:12:33,15,1,1
24,5,2082,P.O. Box 155  8032 Elementum Avenue, 2017-03-10 13:52:06,10,1,1
25,8,2086,P.O. Box 934  625 Eu Rd., 2017-03-11 17:31:23,13,1,0
26,3,2134,P.O. Box 592  3246 Egestas Av., 2017-03-11 18:30:19,10,1,1
27,8,2085,Ap #971-4930 Fringilla. Road, 2017-03-11 20:08:35,7,1,0
28,1,2055,762-8250 Integer St., 2017-03-15 12:41:36,13,1,1
29,7,2110,Ap #531-6560 Bibendum. Avenue, 2017-03-16 06:46:27,10,1,0
30,5,2083,840-4197 Lorem St., 2017-03-16 18:15:59,10,1,1
